bin_identifyer,time_stamp,bin_level,last_emptyed,contains_meat,append_dangerous_trash
BIN001,2025-03-17 08:30:00,75,2025-03-15,yes,no
BIN002,2025-03-17 09:15:00,40,2025-03-14,no,no
BIN003,2025-03-17 10:00:00,90,2025-03-12,yes,yes
BIN004,2025-03-17 11:45:00,20,2025-03-16,no,no
BIN005,2025-03-17 12:30:00,55,2025-03-15,no,yes
BIN006,2025-03-17 13:10:00,85,2025-03-13,yes,no
BIN007,2025-03-17 14:00:00,30,2025-03-16,no,no
BIN008,2025-03-17 14:45:00,95,2025-03-11,yes,yes
BIN009,2025-03-17 15:20:00,10,2025-03-17,no,no
BIN010,2025-03-17 16:00:00,60,2025-03-14,no,yes